Código del libro,Titulo,Autor,Año de publicación,DOI_Original,Editorial,Abstract,Keywords,BISAC Catálogo,Thema Catálogo,Clasificación Dewey,"Institución coeditora (separar cada institución con "";"")",Idioma,OpenAlex_ID,OpenAlex_Title,OpenAlex_Author,OpenAlex_Concepts,OpenAlex_Citations,OpenAlex_Similarity,Metodo_Match,Area_Conocimiento,Titulos_Editorial_Area,W_Editorial,W_Citas
CEJ0172,RESEARCHING THE CONTEMPORARY CITY. IDENTITY ENVIRONMENT AND SOCIAL INCLUSION IN DEVELOPING URBAN AREAS,Peter Kellett,2013,,Pontificia Universidad Javeriana,"The city is perhaps the most complex of all human constructs. In the 21st century when cities are bigger than ever, and the majority of the world's population now live in urban areas, the need for research into this complexity to address the large scale challenges of urban life has never been greater. This collection of research studies from different parts of the world, brings together case studies, underpinned by theory, to contribute to the urgent search to make our cities more just, more livable, more accessible, more participatory and more democratic: in short, more humane places to live and work. These crosscutting themes of social inclusion, spatial integration and poverty alleviation are the ever present motifs and motivations throughout this volume. The eleven chapters are grouped into four interrelated sections: the creation and representation of the urban; the production and transformation of the informal; the construction and appropriation of public spaces; and finally, the transformation, use and meaning of home. Collectively the essays engage with the city at a range of scales, but underpinning all of them is a concern for the everyday realities of ordinary people's lives. These detailed and finegrain analyses of complex processes are a modest contribution towards the creation of cities which are not simply more economically viable and environmentally sustainable, but also embody the ideals of social justice.",,[PHI035000] FILOSOFÍA > Ensayos,JM,,,Inglés,,,,,0,0.0,No Encontrado,FILOSOFÍA,12.0,1.2564949357461537,0.0
CEJ0239,LES VARIATIONS DE LA LIGNE PARFAITE,Nicolás  Alvarado Castillo,2022,,Pontificia Universidad Javeriana,"L'un des traits les plus remarquables de la poésie, le vers, a été pourtant l'un des plus négligés par la pensée philosophique. Depuis la Poétique aristotélicienne jusqu'aux cours de Heidegger sur Hölderlin, le vers a été l'objet non pas tant d'un oubli ou d'un refoulement que d'une stratégie d'esquive. Il s'agissait, par une ignorance volontaire, d'amoindrir la portée de pensée de certains éléments formels du fait poétique qui semblent rétifs à la spéculation conceptuelle.",Filosofía; Estética;  Crítica literaria; Poesía; Colombia,PHI001000,DSC,,,Francés,,,,,0,0.0,No Encontrado,PHI001000,4.0,1.16094379124341,0.0
CEJ0276,SOLUTION OF MATHISSONPAPAPETROU-DIXON EQUATIONS FOR SPINNING TEST PARTICLES IN A KERR METRIC,Nelson Velandia-Heredia,2020,,Pontificia Universidad Javeriana,"One of the purposes of this thesis is to study the gravitomagnetic effects. These effects are derived by the analogy between Coulomb's law and Newton's gravitation law. There is a relationship between Maxwell's equations and the linearized Einstein equations. Therefore, our rst step will be to linearize the Einstein field equations and compare them with some electromagnetic phenomena. Then, we will take the MPD equations given by Plyastsko et al. for a spinning test particle orbiting around a rotating massive body. Since it is not possible to nd an analytical solution for the set of eleven coupled differential equations, we will give a numerical solution for the case when the spinning test particle orbits in a Kerr metric. The main contribution of this work is to yield the numerical solution for the case of spinning particles around a rotating gravitational eld. On the other hand, one nds that the majority of works give the analytical solution for particular cases such as spinless test particles in the Schwarzschild metric and in the equatorial planes or the spin values constricted in the time. We calculate the trajectories of spinning test particles in rotating gravitational elds without restrictions on its velocity and spin orientation. From this work, we will study the gravitomagnetism effects and give an exact numerical solution for the clock effect.",Spinning Test Particles; Kerr Metric; Mathisson-Papapetrou-Dixon,SCI032000,PHVG,,,Inglés,,,,,0,0.0,No Encontrado,SCI032000,1.0,1.0693147180559943,0.0
CEJ0280,INDIGENOUS NETWORKS AT THE MARGINS OF DEVELOPMENT,Giovanna Micarelli,2015,,Pontificia Universidad Javeriana,"This work is based on research and advocacy with the people of two multiethnic indigenous resguardos located at the outskirts of the Colombian towns of Leticia and Puerto Nariño. Through an analysis of the relationship between development institutions and indigenous people, the book examines the dynamics of social praxis in contexts where development is debated, enforced, and subverted, and it does so in a dialogue with the critical perspective of post-development, and the critiques woven by indigenous people on the basis of their experiences, world-views, and embodied perceptions of well-being. In spite of being the postulate of development the improvement of the people's quality of life,indigenous people express the feeling that their life quality has become worse as development projects proceed, and they see themselves as both physically and spiritually ill. While they become increasingly involved in the development apparatus, they strive to resist the implicit beliefs of development as well as its practical workings. In a situation of crisis, which pervades, as a virus, the human, social, and cosmic bodies, indigenous people endeavor to cure the pathogenic energy of development through the strengthening of cultural meanings and the weaving of intercultural alliances. For the supra-ethnic ensemble known as People of the Center, this twofold process is articulated through the ritual consumption of coca and tobacco. This work asks why this philosophical and ritual system is able to resonate in an indigenous multicultural context, and how it generates schemas for political agency that intertwine in a powerful way healing, dissent, and the consolidation of intercultural networks",Antropología cultural; Indígenas de Colombia; Relaciones sociales,SOC002010,JHMC,,,Inglés,https://openalex.org/W2956648270,Indigenous Networks at the Margins of Development,Giovanna Micarelli,Indigenous; Geography,6,1.0,Solo Titulo,SOC002010,6.0,1.1945910149055314,0.9729550745276566
CEJ0336,Migratory Flows At The Borders Of Our World ,"Alberto Ares Mateos, S.J; Mauricio García Durán, S.J; Cecilia Estrada Villaseñor; Juan Iglesias Martínez",2020,,Pontificia Universidad Javeriana,,,"[SOC007000] CIENCIAS SOCIALES > Emigración e Inmigración
","[JBFH] Sociedad y ciencias sociales > Sociedad y cultura: general > Cuestiones sociales y éticas > Migración, inmigración y emigración
",,,Inglés,https://openalex.org/W3036688729,Migratory flows at the borders of our world,Pontificia Universidad Javeriana,Economic geography,6,0.7749999999999999,Solo Titulo,CIENCIAS SOCIALES,35.0,1.358351893845611,0.9729550745276566
DJS0003,GENDER DISCRIMINATION IN FOOTBALL,Rebecca Robinson,2021,,Dejusticia,"The importance of gender and gender-based categorizations cling to the world of sport like no other realm of culture or society in the twenty-first century. While presented as natural, logical, and innate, the differential treatment of men and women and boys and girls in the world of sport is largely the product of over a century of global socialization intent on preserving sport as a male-dominated pastime, lifestyle, and avenue of opportunity.

As the most popular sport worldwide, football (or soccer) may be the poster child for lingering gender disparities in sport. Despite women's presence on the pitch since the turn of the twentieth century, governments and football associations have proactively suppressed their ability to participate in the game through gender stereotypes, underinvestment, precarious professional opportunities, and disrespect.

This report describes the various manifestations of gender-based discrimination that shape the game of football today, the role the Fédération Internationale de Football Association (FIFA) plays in perpetuating this discrimination, and existing avenues for remedy (or lack thereof). The report concludes with key takeaways from the fight for gender equality to date, with an eye toward building a more just world of sport in the years to come.",Estudios de género; Gender discrimination; FIFA; sport; feminismo; Colombia,SOC028000,JBSF1,,,Inglés,,,,,0,0.0,No Encontrado,SOC028000,5.0,1.1791759469228056,0.0
DJS0004,AMPHIBIOUS RESEARCH,César Rodríguez,2015,,Dejusticia,"Action research combines academic study, participation in public debate, public policy advocacy and institution building (such as think tanks and NGOs). This book, in both its english and Spanish versions, analyzes the advantages and difficulties of this type of work.

Close interaction with diverse audiences tends to give action research greater empirical precision and relevance, and serve as a source of motivation for practitioners. However, it also creates constant risks of dispersion, lack of analytical distance and burnout.

To take advantage of the advantages and face the difficulties, the book proposes an approach - 'amphibious research' - based on hybrid methodological approaches and writing styles, whose products gather contributions from different fields of knowledge and circulate in multimedia formats.",Sociología;  Multimedia;  Activismo; ONG;  Metodología de Investigación;  Globalización; Colombia,SOC000000,JHBA,,,Inglés,,,,,0,0.0,No Encontrado,SOC000000,1.0,1.0693147180559943,0.0
DJS0026,MAKING SOCIAL RIGHTS REAL,Celeste Kauffman,2014,,Dejusticia,"Given the disappointing implementation levels in various countries and across human rights systems, this guide seeks to contribute to the discussion regarding strategies for courts, international decision-makers, and civil society to increase the implementation of ESCR decisions.

For generations, human rights defenders have struggled to secure recognition of economic, social and cultural rights (ESC rights) and ensure their justiciability in national, regional and international courts, a struggle that has been very successful. National courts around the world, including in Colombia, India, South Africa and Kenya, are expressing their views on ESC rights on a regular basis, and several countries have explicitly included the justiciability of ESC rights in their constitutions. Regional tribunals such as the Inter-American Court of Human Rights and the African Commission on Human and Peoples' Rights now consider petitions on ESCR. At the international level, in 2013, the Optional Protocol to the International Covenant on Economic and Social Rights entered into force, allowing the Committee on Economic and Social Rights to hear individual complaints concerning violations of ESC rights",Derecho; Implementation; Rights and duties; Justice; Social rights; Colombia,[LAW101000] LEY > Ensayos,LAQ,,,Inglés,https://openalex.org/W4399936555,Making Social Rights Real,César Rodríguez Garavito,Political science,2,0.745,Solo Titulo,LEY,51.0,1.3951243718581428,0.5493061443340549
DJS0028,FISCAL POLICY IN THE REGULATION OF ADULT-USE CANNABIS IN COLOMBIA,Luis Felipe Cruz Olivera,2022,,Dejusticia,"The debate about regulating cannabis for adult use is on the public agenda. In our view, the best policy on marijuana that a State can develop is the regulation of its cultivation, manufacture and use, focused on reducing marijuana's comparative impact in illegal economies and drug trafficking networks; protecting public health; promoting rural development in prioritized areas; and promoting reparation measures financed with the resources arising from regulation. Drugs are not the devil, but nor are they child's play. A drug policy that would be respectful of human rights and safeguard public health must lie at an intermediate point between full liberalization and the prohibition currently in place.
In this document, based on a comparative analysis of the regulations issued in Uruguay, Canada and the United States and by applying the Principles and Guidelines for Human Rights in Fiscal Policy, we argue for the importance of a fiscal framework based on collecting taxes in the cannabis market and focused on mobilizing the maximum amount of available resources to finance the goals of reducing the illegal market, preserving public health and assisting the populations affected by drug policy, as set forth in the cannabis regulations.",Derecho; cannabis; regulations; public health; rural development; fiscal policy; Colombia,[LAW118000] LEY > Drogas y la ley,JKVG,,,Inglés,https://openalex.org/W4399936436,Fiscal Policy in the Regulation of Adult-Use Cannabis in Colombia,Alejandro Rodríguez-Llach,Cannabis; Fiscal policy; Economics,2,0.7612244897959183,Solo Titulo,LEY,51.0,1.3951243718581428,0.5493061443340549
DJS0029,JUSTICE THROUGH TRANSITIONS,Nina Chaparro,2018,,Dejusticia,"What does justice mean in times of transition? What kinds of possibilities and dissapointments emerge from processes of seeking justice through transition? How might we understand these processes through narrative?

In August 2015, a group of Global South human rights activists and researchers gathered in Colombia for a workshop organized around the theme of transitional justice. This book, the third in a series, is the result of the discussions performed in that encounter.

The chapters in this volume illustrate many complexities of transitional justice processes from the perspective of young human rights advocates involved in these struggles, many with their own complicated personal connections to the search for justice. These advocates hail from countries that have divergent relationships with the notion of transitional justice, from places deeply embedded in its norms and processes, such as Argentina and Colombia, to countries undergoing various kinds of transitions on very different terms, such as Turkey and Mexico. All of the chapters, however, write the messiness of seeking justice through transitions, spanning from the personal and intimate to the national and global.

Together, these chapters beautifully illustrate both the pain and the political possibilities that come from the inability to leave history in the past, as well as the creativity of individual and collective efforts to seek justice through transitions. They also demonstrate the beauty of speaking, working, and writing justice from the hear.",Sociología;  Derecho ;  Transitional justice;  Conflict resolution; Human rights;  Peace processes; Colombia,POL035010,GTU,,,Inglés,,,,,0,0.0,No Encontrado,POL035010,4.0,1.16094379124341,0.0
