Código del libro,Titulo,Autor,Año de publicación,DOI_Original,Editorial,Abstract,Keywords,"Institución coeditora (separar cada institución con "";"")",Idioma,OpenAlex_ID,OpenAlex_Title,OpenAlex_Author,OpenAlex_Concepts,OpenAlex_Citations,OpenAlex_Similarity,Metodo_Match,Area_Conocimiento,W_Citas,Titulos_Editorial_Area,W_Editorial,Titulo_Final,Autor_Final,Tag,W_Editorial_Norm,W_Citas_Norm
CEJ0001,"ESPEJO DE LOS AUSENTES, EL",Germán Ortegón Pérez,2023,,Pontificia Universidad Javeriana,"Germán Ortegón Pérez registra en este libro el drama del despojo de un modo oblicuo: no son las personas ni las familias enteras que dejaron en un momento sus tierras y sus propiedades, no es su drama en los centros urbanos o como miembros de la guerra en alguno de sus bandos, no es aquello que pudieron tomar consigo: las imágenes nos muestran el aspecto actual de lo que, por algún motivo, no pudieron llevarse. Germán Rey",Fotografía; Conflicto armado; Memoria; Colombia,,Español,https://openalex.org/W4387035097,El espejo de los ausentes,Germán Ortegón Pérez,Humanities; Art,0,1.0,Solo Titulo,Fotografía,0.0,2,1.109861228866811,EL ESPEJO DE LOS AUSENTES,Germán Ortegón Pérez,espejo ausentes espejo ausentes germán ortegón pérez pontificiauniversidadjaveriana pontificiauniversidadjaveriana fotografía conflicto armado memoria colombia fotografía conflicto armado memoria colombia fotografía conflicto armado memoria colombia fotografía humanities art germán ortegón pérez registra libro drama despojo modo oblicuo personas familias enteras dejaron momento tierras propiedades drama centros urbanos miembros guerra alguno bandos aquello pudieron tomar consigo imágenes muestran aspecto actual algún motivo pudieron llevarse germán rey,0.0675,0.0
CEJ0002,NIIF PARA COMUNIDADES RELIGIOSAS Y OBRAS APOSTOLICAS ESTRATEGIAS DE APLICACION,Aracely del Socorro Sánchez Serna,2019,,Pontificia Universidad Javeriana,"Este libro es producto de un proyecto de investigación orientado a generar estrategias para la aplicación de las Normas Internacionales de Información Financiera (NIIF®) de las entidades sin ánimo de lucro, en especial para las comunidades religiosas, a las que se busca brindar apoyo a partir de la presentación de casos concretos a su ser y quehacer desde sus obras apostólicas. Esta es, entonces, una herramienta práctica, útil y necesaria para quienes son responsables del manejo contable en las comunidades religiosas y otras entidades sin ánimo de lucro, preparada por docentes investigadores de la Facultad de Ciencias Económicas y Administrativas de la Pontificia Universidad Javeriana y confirma el liderazgo de esta universidad en el ámbito de la Contabilidad Financiera Internacional.",Normas internacionales de contabilidad; Órdenes religiosas; Finanzas,,Español,,,,,0,0.0,No Encontrado,Negocios y Economía,0.0,14,1.270805020110221,NIIF PARA COMUNIDADES RELIGIOSAS Y OBRAS APOSTOLICAS ESTRATEGIAS DE APLICACION,Aracely del Socorro Sánchez Serna,niif comunidades religiosas obras apostolicas estrategias aplicacion niif comunidades religiosas obras apostolicas estrategias aplicacion aracely socorro sánchez serna pontificiauniversidadjaveriana pontificiauniversidadjaveriana normas internacionales contabilidad órdenes religiosas finanzas normas internacionales contabilidad órdenes religiosas finanzas normas internacionales contabilidad órdenes religiosas finanzas negocios economía libro producto proyecto investigación orientado generar estrategias aplicación normas internacionales información financiera niif entidades ánimo lucro especial comunidades religiosas busca brindar apoyo partir presentación casos concretos quehacer obras apostólicas entonces herramienta práctica útil necesaria responsables manejo contable comunidades religiosas entidades ánimo lucro preparada docentes investigadores facultad ciencias económicas administrativas pontificia universidad javeriana confirma liderazgo universidad ámbito contabilidad financiera internacional,0.3355,0.0
CEJ0003,PAGO POR DESEMPEÑO EN EL SISTEMA DE SALUD COLOMBIANO,Varios autores,2012,,Pontificia Universidad Javeriana,"Durante los últimos años para lograr niveles de eficiencia y calidad más altos en la prestación de los servicios de salud en Colombia, se ha implementado el uso de incentivos en el sector hospitalario y ambulatorio Este libro aborda el estudio de estos incentivos en el sector salud, a partir de los trabajos de prueba que analizan las relaciones contractuales",,,Español,https://openalex.org/W3027892744,Pago por desempeño en el sistema de salud colombiano,Ariel Cortés,Political science,2,1.0,Solo Titulo,Biografías,0.5493061443340549,6,1.1945910149055314,PAGO POR DESEMPEÑO EN EL SISTEMA DE SALUD COLOMBIANO,Ariel Cortés,pago desempeño sistema salud colombiano pago desempeño sistema salud colombiano ariel cortés pontificiauniversidadjaveriana pontificiauniversidadjaveriana biografías political science últimos años lograr niveles eficiencia calidad altos prestación servicios salud colombia implementado uso incentivos sector hospitalario ambulatorio libro aborda estudio incentivos sector salud partir trabajos prueba analizan relaciones contractuales,0.2086,0.2295
CEJ0004,"SELECCION DE PERSONAL. DISCURSOS, PRACTICAS, TECNOLOGIAS",Sin datos,2016,,Pontificia Universidad Javeriana,"El mercado laboral contemporáneo ha configurado nuevos escenarios de trabajo, en los cuales las condiciones de los trabajadores y las características de la selección son cada vez más ambiguas e inciertas. La selección de personal, último reducto exclusivo de la psicología, tradicionalmente se ha visto como el medio idóneo para garantizar tanto el candidato más apto para la empresa como el bienestar de los empleados y su realización profesional. Sin embargo, son múltiples los problemas que afectan el proceso de selección de personal: el afán productivo que coacciona a los profesionales encargados de la evaluación de los candidatos, la discriminación por origen social, etnia, sexo, estado civil, fenotipo u orientación sexual, prácticas lesivas e invasivas con los aspirantes, entre otros dilemas éticos que muestran la subjetividad del proceso. Selección de personal. Discursos, prácticas, dispositivos reúne diversas reflexiones críticas que llevan a la necesidad de concebir las organizaciones como espacios fundamentales de derechos que deben garantizar la no discriminación. Este libro se distancia de las reflexiones que se centran en el simple mejoramiento de instrumentos psicométricos, para contribuir a la consolidación de las bases éticas de las prácticas estudiadas.",selección de personal; Administración de personal; ética empresarial,,Español,,,,,0,0.0,No Encontrado,Psicología,0.0,10,1.2397895272798372,"SELECCION DE PERSONAL. DISCURSOS, PRACTICAS, TECNOLOGIAS",Sin datos,seleccion personal discursos practicas tecnologias seleccion personal discursos practicas tecnologias datos pontificiauniversidadjaveriana pontificiauniversidadjaveriana selección personal administración personal ética empresarial selección personal administración personal ética empresarial selección personal administración personal ética empresarial psicología mercado laboral contemporáneo configurado nuevos escenarios trabajo cuales condiciones trabajadores características selección cada vez ambiguas inciertas selección personal último reducto exclusivo psicología tradicionalmente visto medio idóneo garantizar candidato apto empresa bienestar empleados realización profesional embargo múltiples problemas afectan proceso selección personal afán productivo coacciona profesionales encargados evaluación candidatos discriminación origen social etnia sexo civil fenotipo orientación sexual prácticas lesivas invasivas aspirantes dilemas éticos muestran subjetividad proceso selección personal discursos prácticas dispositivos reúne diversas reflexiones críticas llevan necesidad concebir organizaciones espacios fundamentales derechos deben garantizar discriminación libro distancia reflexiones centran simple mejoramiento instrumentos psicométricos contribuir consolidación bases éticas prácticas estudiadas,0.2838,0.0
CEJ0005,COSAS VIVAS ANTROPOLOGIA DE OBJETOS SUSTANCIAS Y POTENCIAS,Luis Alberto Suárez Guava,2019,,Pontificia Universidad Javeriana,"Montañas que paren gente, gente que resbala por la montaña en juegos suicidas, santos que bailan y santos que se desplazan ocultos, unos que hacen surcos y otros zanjas, gallos y bandoleros, indios y guaqueros, tambores y museos, danzantes y trompos, alfareros y políticos, sombreros y pocís, vasijas envidiosas y sombreros vueltiaos, fiestas y brujería, tambores y picós, todo estos elementos, sustancias, lugares y personas son los objetos de estudio de este libro. Desde el Grupo de Estudios Etnográficos de la Pontificia Universidad Javeriana se planteó la pregunta por los límites y por el campo de acción de la antropología y de estas reflexiones surgió una apuesta por poner en duda las clasificaciones, y el hecho mismo de clasificar, abogando por un tipo de investigación transgénero que, si no es antropología, es antropología transgénero.en este conjunto de estudios están las resonancias que justifican la presencia de textos raros y que mantienen la convicción de que la antropología sí está obligada a hablar de la realidad o de las realidades y que esto la obliga a hacer diferente para pensar diferente. Aquí no se trata de un listado estéril o de viñetas analíticas, sino de un montaje vívido que transgrede las fronteras de la razón o de lo social, de lo político o de lo jurídico, de la moral o de lo simbólico, de los géneros de pensamiento, incluso de aquellas fronteras que separan tan flagrantemente la teoría de la etnografía",antropologia; clasificación; transgenero; objetos; etnografía; sociología,,Español,,,,,0,0.0,No Encontrado,Ciencias Sociales,0.0,66,1.4204692619390966,COSAS VIVAS ANTROPOLOGIA DE OBJETOS SUSTANCIAS Y POTENCIAS,Luis Alberto Suárez Guava,cosas vivas antropologia objetos sustancias potencias cosas vivas antropologia objetos sustancias potencias luis alberto suárez guava pontificiauniversidadjaveriana pontificiauniversidadjaveriana antropologia clasificación transgenero objetos etnografía sociología antropologia clasificación transgenero objetos etnografía sociología antropologia clasificación transgenero objetos etnografía sociología ciencias sociales montañas paren gente gente resbala montaña juegos suicidas santos bailan santos desplazan ocultos hacen surcos zanjas gallos bandoleros indios guaqueros tambores museos danzantes trompos alfareros políticos sombreros pocís vasijas envidiosas sombreros vueltiaos fiestas brujería tambores picós elementos sustancias lugares personas objetos estudio libro grupo estudios etnográficos pontificia universidad javeriana planteó pregunta límites campo acción antropología reflexiones surgió apuesta poner duda clasificaciones hecho mismo clasificar abogando tipo investigación transgénero antropología antropología transgénero conjunto estudios resonancias justifican presencia textos raros mantienen convicción antropología obligada hablar realidad realidades obliga hacer diferente pensar diferente aquí trata listado estéril viñetas analíticas sino montaje vívido transgrede fronteras razón social político jurídico moral simbólico géneros pensamiento incluso aquellas fronteras separan tan flagrantemente teoría etnografía,0.5846,0.0
CEJ0006,DIEZ FESTIVALES EN COLOMBIA,Instituto de Políticas de Desarrollo,2013,,Pontificia Universidad Javeriana,"Los festivales son eventos gracias a los cuales la cultura se revitaliza y se reinventa a sí misma por medio de un despliegue lúdico de sus imaginarios culturales. Son una fiesta. Crean atmósferas especiales tanto por las obras presentadas como por el paisaje y el ambiente de los sitios donde se realizan. Reviven la tradición. en los festivales artísticos, las comunidades desarrollan su potencial, aprovechan la diversidad y encuentran oportunidades de mejorar la calidad de vida de sus habitantes. No menos importante, los festivales fomentan la integración de las regiones y sus gentes hacia un proyecto de unidad nacional.",Festivales culturales; Colombia; Manifestaciones culturales,,Español,,,,,0,0.0,No Encontrado,Ciencias Sociales,0.0,66,1.4204692619390966,DIEZ FESTIVALES EN COLOMBIA,Instituto de Políticas de Desarrollo,diez festivales colombia diez festivales colombia instituto políticas desarrollo pontificiauniversidadjaveriana pontificiauniversidadjaveriana festivales culturales colombia manifestaciones culturales festivales culturales colombia manifestaciones culturales festivales culturales colombia manifestaciones culturales ciencias sociales festivales eventos gracias cuales cultura revitaliza reinventa misma medio despliegue lúdico imaginarios culturales fiesta crean atmósferas especiales obras presentadas paisaje ambiente sitios realizan reviven tradición festivales artísticos comunidades desarrollan potencial aprovechan diversidad encuentran oportunidades mejorar calidad vida habitantes menos importante festivales fomentan integración regiones gentes hacia proyecto unidad nacional,0.5846,0.0
CEJ0007,"EXTERMINIO DE LA ISLA DE PAPAYAL ETNOGRAFIAS SOBRE EL ESTADO Y LA CONSTRUCCION DE PAZ EN COLOMBIA, EL",Juan Felipe García Arboleda,2019,,Pontificia Universidad Javeriana,"A través de la historia la isla de Papayal ha sido sometida a varias prácticas de exterminio, el autor contrasta la visión de los habitantes de esta isla y de los actores que la han explotado, al tiempo que analiza el papel del gobierno y las leyes en este conflicto.",narcotráfico; conflicto armado; etnografía; sociología; antropologia,,Español,,,,,0,0.0,No Encontrado,Ciencias Sociales,0.0,66,1.4204692619390966,EL EXTERMINIO DE LA ISLA DE PAPAYAL ETNOGRAFIAS SOBRE EL ESTADO Y LA CONSTRUCCION DE PAZ EN COLOMBIA,Juan Felipe García Arboleda,exterminio isla papayal etnografias construccion paz colombia exterminio isla papayal etnografias construccion paz colombia juan felipe garcía arboleda pontificiauniversidadjaveriana pontificiauniversidadjaveriana narcotráfico conflicto armado etnografía sociología antropologia narcotráfico conflicto armado etnografía sociología antropologia narcotráfico conflicto armado etnografía sociología antropologia ciencias sociales través historia isla papayal sido sometida varias prácticas exterminio autor contrasta visión habitantes isla actores explotado tiempo analiza papel gobierno leyes conflicto,0.5846,0.0
CEJ0008,"PALENQUE COLOMBIA: ORALIDAD, IDENTIDAD Y RESISTENCIA",Sin datos,2012,,Pontificia Universidad Javeriana,"en Colombia tenemos el privilegio de consolidar creativos proyectos interinstitucionales con cierta periodicidad. Esta nueva obra editada por la Pontificia Universidad Javeriana y el Instituto Caro y Cuervo recoge aportes de diversas latitudes y promete ser, en su área, un presupuesto insalvable. Palenque (Colombia): oralidad, identidad y resistencia, editada por Graciela Maglia y Armin Schwegler, incluye experiencias académicas y contextos sociales que testimonian el esfuerzo continuo de los especialistas para ubicarse en el corazón mismo de las culturas a partir de la pertinencia de saberes situados.",Palenquero; Historia; Lenguas criollas; colombia,,Español,https://openalex.org/W3035371483,"Palenque (Colombia). Oralidad, identidad y resistencia",Armin Schwegler,Geography,99,0.9622641509433962,Solo Titulo,Arte,2.302585092994046,23,1.3178053830347947,"PALENQUE COLOMBIA: ORALIDAD, IDENTIDAD Y RESISTENCIA",Armin Schwegler,palenque colombia oralidad identidad resistencia palenque colombia oralidad identidad resistencia armin schwegler pontificiauniversidadjaveriana pontificiauniversidadjaveriana palenquero historia lenguas criollas colombia palenquero historia lenguas criollas colombia palenquero historia lenguas criollas colombia arte geography colombia privilegio consolidar creativos proyectos interinstitucionales cierta periodicidad nueva obra editada pontificia universidad javeriana instituto caro cuervo recoge aportes diversas latitudes promete área presupuesto insalvable palenque colombia oralidad identidad resistencia editada graciela maglia armin schwegler incluye experiencias académicas contextos sociales testimonian esfuerzo continuo especialistas ubicarse corazón mismo culturas partir pertinencia saberes situados,0.4137,0.9619
CEJ0009,NOMENCLATOR BIOGRAFICO (I) DE LOS JESUITAS NEOGRANADINOS 1604-1831 (A-L),"José Del Rey Fajardo, S.J.",2020,,Pontificia Universidad Javeriana,"El 23 de septiembre de 1604, llegó a Santafé la expedición fundadora de la Compañía de Jesús y el día 27 se hizo entrega de la real cédula a la Chancillería Real, mediante la que se autorizaba su fundación en la Nueva Granada. Pocos meses después, el primero de enero de 1605, se empezaron a impartir clases en el colegio de Santafé, que después se convertiría en el Colegio Máximo de la Provincia del Nuevo Reino de Granada y sería conocido como la Universidad Javeriana.
A partir de ese momento, se dio inicio a una empresa intelectual, religiosa y social que persiste hasta hoy, cuyo recorrido ha estado marcado por los conflictos, la persecución y la diáspora. Antes de la publicación del decreto de expulsión de los jesuitas en 1767, ordenado por Carlos III, e incluso después de la dispersión de sus miembros por todo el mundo, la orden de Ignacio de Loyola estuvo conformada por una base heterogénea de individuos que educaron y formaron a toda una élite intelectual en el territorio neogranadino. Así, aportaron ideas del Viejo Continente y animaron las discusiones académica y religiosa en el Nuevo Mundo.
en un esfuerzo de sistematización, el padre José del Rey Fajardo, S. J., ha reunido en este nomenclátor información precisa sobre los miembros de la Compañía de Jesús que trabajaron en la Nueva Granada desde 1604 hasta 1767, y posteriormente en tierras italianas hasta 1831. Desde esta perspectiva, se podrá ver cómo esta orden religiosa se insertó en los prolegómenos de una historia intelectual de los jesuitas del Renacimiento y en la génesis neogranadina, y también cómo y por qué sus miembros han concurrido a la obra común que ayudó a engendrar la modernidad.",Jesuitas; Misiones jesuíticas; Biografías,,Español,https://openalex.org/W3187231317,Reseña a Nomenclátor biográfico de los jesuitas neogranadinos 1604-1831,Antonio Astorgano Abajo,Art; Humanities,0,0.6560687432867883,Solo Titulo,Biografías,0.0,6,1.1945910149055314,NOMENCLATOR BIOGRAFICO DE LOS JESUITAS NEOGRANADINOS 1604-1831,José Del Rey Fajardo,nomenclator biografico jesuitas neogranadinos 1604 1831 nomenclator biografico jesuitas neogranadinos 1604 1831 josé rey fajardo pontificiauniversidadjaveriana pontificiauniversidadjaveriana jesuitas misiones jesuíticas biografías jesuitas misiones jesuíticas biografías jesuitas misiones jesuíticas biografías biografías art humanities septiembre 1604 llegó santafé expedición fundadora compañía jesús día hizo entrega real cédula chancillería real mediante autorizaba fundación nueva granada pocos meses después primero enero 1605 empezaron impartir clases colegio santafé después convertiría colegio máximo provincia nuevo reino granada conocido universidad javeriana partir momento dio inicio empresa intelectual religiosa social persiste hoy cuyo recorrido marcado conflictos persecución diáspora publicación decreto expulsión jesuitas 1767 ordenado carlos iii incluso después dispersión miembros mundo orden ignacio loyola conformada base heterogénea individuos educaron formaron toda élite intelectual territorio neogranadino así aportaron ideas viejo continente animaron discusiones académica religiosa nuevo mundo esfuerzo sistematización padre josé rey fajardo reunido nomenclátor información precisa miembros compañía jesús trabajaron nueva granada 1604 1767 posteriormente tierras italianas 1831 perspectiva podrá ver cómo orden religiosa insertó prolegómenos historia intelectual jesuitas renacimiento génesis neogranadina cómo miembros concurrido obra común ayudó engendrar modernidad,0.2086,0.0
CEJ0010,SEÑORES DEL MUY ILUSTRE CABILDO,Juana María Marín Leoz,2017,,Pontificia Universidad Javeriana,"Los cabildos municipales fueron los primeros instrumentos de organización y acción política utilizados en América durante el proceso de conquista y representaban directamente a los primeros fundadores y pobladores de las ciudades. A lo largo de la época colonial, su papel de esqueleto administrativo sobre el cual la monarquía hispánica asentó su presencia en el continente americano fue evolucionando. Así, durante el siglo XVIII la mayor parte de los cargos del cabildo de Santa Fe fueron ocupados por individuos pertenecientes a unas pocas familias emparentadas entre sí que constituían una oligarquía bastante compacta que controlaba el ejercicio del gobierno municipal y lo usaba para su propio provecho. 

Señores del muy ilustre Cabildo se centra precisamente en estos individuos y detalla las biografías de las personas que ocuparon cargos en el cabildo de Santa Fe entre los años 1700 y 1810 a manera de repertorio biográfico. Mediante un riguroso estudio de fuentes primarias que trasciende hábilmente las limitaciones impuestas por la desaparición del archivo de la institución, las autoras pormenorizan la formación académica, trayectoria profesional y entramado familiar de los casi 300 cabildantes de esta época, creando una valiosa herramienta de apoyo para todos aquellos interesados en el estudio de la institución capitular y la ciudad de Santa Fe y sus élites durante el siglo XVIII. La obra no solo clarifica el panorama de ocupación de cargos del cabildo durante el siglo XVIII, sino que contribuye a profundizar en el conocimiento de las élites hispanoamericanas en la época moderna, sus mecanismos de inserción en las instituciones y en última instancia la manera de gobernar el territorio desde España durante el siglo XVIII.",Cabildos; Cabildoscolonia; 1700-1810; prosopografia; siglo XVIII; Colombia; élites hispanoamericanas,,Español,https://openalex.org/W2905099932,Señores del muy ilustre cabildo,Ainara Vázquez Varela,Art,1,0.7976744186046512,Solo Titulo,Historia,0.3465735902799726,42,1.3761200115693564,SEÑORES DEL MUY ILUSTRE CABILDO,Juana María Marín Leoz,señores ilustre cabildo señores ilustre cabildo juana maría marín leoz pontificiauniversidadjaveriana pontificiauniversidadjaveriana cabildos cabildoscolonia 1700 1810 prosopografia siglo xviii colombia élites hispanoamericanas cabildos cabildoscolonia 1700 1810 prosopografia siglo xviii colombia élites hispanoamericanas cabildos cabildoscolonia 1700 1810 prosopografia siglo xviii colombia élites hispanoamericanas historia art cabildos municipales primeros instrumentos organización acción política utilizados américa proceso conquista representaban directamente primeros fundadores pobladores ciudades largo época colonial papel esqueleto administrativo monarquía hispánica asentó presencia continente americano evolucionando así siglo xviii mayor parte cargos cabildo santa ocupados individuos pertenecientes unas pocas familias emparentadas constituían oligarquía bastante compacta controlaba ejercicio gobierno municipal usaba propio provecho señores ilustre cabildo centra precisamente individuos detalla biografías personas ocuparon cargos cabildo santa años 1700 1810 manera repertorio biográfico mediante riguroso estudio fuentes primarias trasciende hábilmente limitaciones impuestas desaparición archivo institución autoras pormenorizan formación académica trayectoria profesional entramado familiar casi 300 cabildantes época creando valiosa herramienta apoyo aquellos interesados estudio institución capitular ciudad santa élites siglo xviii obra solo clarifica panorama ocupación cargos cabildo siglo xviii sino contribuye profundizar conocimiento élites hispanoamericanas época moderna mecanismos inserción instituciones última instancia manera gobernar territorio españa siglo xviii,0.5108,0.1448
